pop,entry,DTH,GW_1k,GM2,ton_hectare,SPI,HI,FE,TL,IN2_wt,IN3_wt,INL2,INL3,IN2_PI,IN3_PI,IN2_IN3_PI
1,893,114.1790241,18.89108516,15245.29159,3.886411423,0.26380381,0.318910375,74.45084823,26.12650923,3.887397737,2.611316945,17.05003804,10.07046511,0.150167838,0.100310871,0.250469745
1,895,114.1790241,22.49108516,14026.09159,4.160697137,0.35380381,0.486534347,74.61084823,26.12650923,4.487397737,2.312316945,19.89170471,9.447737843,0.159272054,0.081927382,0.241190471
1,896,90.04344111,27.8433697,17426.70329,4.804346993,0.281833015,0.378760594,54.92024827,28.69057744,4.960808567,3.902695775,16.81096491,11.01296534,0.145030615,0.113150958,0.258172608
1,897,86.04344111,34.31375046,16102.66428,5.302098159,0.278171216,NA,NA,29.47627349,4.620922802,3.042234709,18.23361939,10.7300534,0.154657334,0.10038055,0.255028918
1,901,105.8845576,22.16184667,14430.39073,3.853342326,0.226480212,0.261871546,59.19017205,32.01175575,4.193582487,3.101144202,20.07868034,11.75820039,0.140384056,0.102118046,0.242493137
1,902,93.1790241,33.31558413,14602.16969,4.939605046,0.487079365,0.413463101,29.79728754,21.87641353,3.15824747,2.531396349,13.16897405,8.889154682,0.107001912,0.084638867,0.191631813
1,904,106.0317908,17.97184667,19238.02501,4.081913755,0.256480212,0.388547484,94.19588634,25.86500621,3.324798943,1.905440151,19.33701367,10.14389463,0.154670549,0.095991154,0.250652739
1,905,90.03179084,25.8633697,16287.37757,4.164346993,0.381833015,0.455075768,52.4288197,25.00779044,4.035255883,3.165595887,14.84429825,10.99027716,0.124979466,0.100261184,0.225231686
1,908,105.8845576,19.52184667,15839.5793,3.739056612,0.216480212,0.385892452,100.9730292,28.71053573,3.796526668,2.644596237,19.870347,11.59732466,0.161169405,0.112104339,0.273264779
1,910,86.03179084,30.61375046,17872.31,5.256383873,0.288171216,0.412216765,52.56991018,28.04348649,4.067370118,3.643134821,15.30028606,11.29978946,0.117924577,0.108687045,0.226602659
1,912,86.04344111,34.33375046,12448.66428,4.044955302,0.288171216,0.377918893,43.36991018,26.97627349,3.946922802,3.289234709,15.64195273,10.6050534,0.154485279,0.126956988,0.281433302
1,914,89.88455759,27.0533697,17084.60043,4.575775564,0.281833015,0.365578676,54.81739112,27.35331995,4.692983608,3.330751973,16.98596491,10.12704052,0.159060474,0.111216999,0.270268508
1,915,93.04344111,33.94558413,13086.18111,4.516747903,0.327079365,0.420624275,43.94585897,27.47630539,4.556972891,2.798541575,19.16064072,9.423823536,0.157472397,0.095276506,0.252739937
1,916,90.03179084,29.4333697,16808.61186,4.895775564,0.391833015,0.433023573,42.61167684,27.50779044,2.113255883,2.794595887,15.81929825,11.14027716,0.084527533,0.11307107,0.197589639
1,918,86.04344111,28.53375046,21274.92714,5.862098159,0.398171216,0.413534278,39.67848161,25.97627349,4.066922802,3.545234709,13.85028606,11.68838673,0.119508309,0.104178806,0.22367815
